GID,PID,OFF,DEF,TYPE,DSEQ,LEN,QTR,MIN,SEC,PTSO,PTSD,DWN,YTG,YFOG,ZONE,PTS,FGXP,FKICKER,DIST,GOOD,SEAS,WEEK,DAY,V,H,STAD,TEMP,HUMD,WSPD,COND,SURF,COND2
2037,330883,KC,SD,FGXP,6,3,1,10,58,0,0,4,5,80,5,3,FG,JC-090,38,1,2007,13,SUN,SD,KC,ArrowheadStadium,34,64,16,Cloudy,Grass,Clean
226,36870,DEN,KC,FGXP,7,3,4,11,46,7,10,4,2,81,5,NA,FG,JE-020,37,0,2000,16,SUN,DEN,KC,ArrowheadStadium,9,61,6,Sunny,Grass,Clean
613,99680,DEN,KC,FGXP,3,3,5,12,8,34,34,1,7,93,5,3,FG,JE-020,25,1,2002,7,SUN,DEN,KC,ArrowheadStadium,51,69,3,Sunny,Grass,Clean
613,99512,DEN,KC,FGXP,12,4,1,2,53,0,7,4,13,87,5,3,FG,JE-020,32,1,2002,7,SUN,DEN,KC,ArrowheadStadium,51,69,3,Sunny,Grass,Clean
613,99569,DEN,KC,FGXP,11,5,2,0,12,3,13,1,1,84,5,3,FG,JE-020,33,1,2002,7,SUN,DEN,KC,ArrowheadStadium,51,69,3,Sunny,Grass,Clean
853,139126,DEN,KC,FGXP,6,3,4,6,4,23,24,4,2,65,4,NA,FG,JE-020,53,0,2003,5,SUN,DEN,KC,ArrowheadStadium,69,60,8,Sunny,Grass,Clean
853,139105,DEN,KC,FGXP,15,3,4,14,21,20,17,4,3,97,5,3,FG,JE-020,21,1,2003,5,SUN,DEN,KC,ArrowheadStadium,69,60,8,Sunny,Grass,Clean
853,139064,DEN,KC,FGXP,10,3,2,0,8,10,10,4,10,89,5,3,FG,JE-020,29,1,2003,5,SUN,DEN,KC,ArrowheadStadium,69,60,8,Sunny,Grass,Clean
853,139027,DEN,KC,FGXP,8,2,2,12,30,7,7,4,19,71,4,3,FG,JE-020,48,1,2003,5,SUN,DEN,KC,ArrowheadStadium,69,60,8,Sunny,Grass,Clean
1270,206870,DEN,KC,FGXP,9,3,2,0,7,7,28,1,9,91,5,3,FG,JE-020,27,1,2004,15,SUN,DEN,KC,ArrowheadStadium,15,42,10,Sunny,Grass,Clean
1502,244701,DEN,KC,FGXP,12,3,3,3,12,21,24,4,4,96,5,3,FG,JE-020,22,1,2005,13,SUN,DEN,KC,ArrowheadStadium,28,51,8,Sunny,Grass,Clean
1502,244712,DEN,KC,FGXP,5,5,4,13,36,24,24,4,2,78,4,3,FG,JE-020,40,1,2005,13,SUN,DEN,KC,ArrowheadStadium,28,51,8,Sunny,Grass,Clean
1749,284553,DEN,KC,FGXP,13,4,2,0,18,0,10,4,8,88,5,3,FG,JE-020,31,1,2006,12,TN,DEN,KC,ArrowheadStadium,65,39,10,Sunny,Grass,Clean
1987,322762,DEN,KC,FGXP,8,4,1,11,16,0,0,4,15,74,4,3,FG,JE-020,44,1,2007,10,SUN,DEN,KC,ArrowheadStadium,69,70,15,Cloudy,Grass,Clean
1987,322811,DEN,KC,FGXP,10,5,2,9,23,3,5,4,8,68,4,3,FG,JE-020,50,1,2007,10,SUN,DEN,KC,ArrowheadStadium,69,70,15,Cloudy,Grass,Clean
1147,186647,ATL,KC,FGXP,8,3,1,12,19,0,0,4,1,99,5,3,FG,JF-090,19,1,2004,7,SUN,ATL,KC,ArrowheadStadium,69,41,9,Sunny,Grass,Clean
2807,455459,ARI,KC,FGXP,10,4,3,4,59,3,21,4,7,89,5,3,FG,JF-090,29,1,2010,11,SUN,ARI,KC,ArrowheadStadium,66,65,25,Cloudy,Grass,Clean
2807,455367,ARI,KC,FGXP,9,4,1,10,28,0,0,4,8,82,5,3,FG,JF-090,36,1,2010,11,SUN,ARI,KC,ArrowheadStadium,66,65,25,Cloudy,Grass,Clean
999,162837,DET,KC,FGXP,15,3,2,3,43,0,21,4,6,89,5,3,FG,JH-090,29,1,2003,15,SUN,DET,KC,ArrowheadStadium,29,88,12,Cloudy,Grass,Clean
211,34454,CAR,KC,FGXP,9,4,4,1,39,14,15,4,11,70,4,NA,FG,JN-060,48,0,2000,15,SUN,CAR,KC,ArrowheadStadium,30,85,13,Cloudy,Grass,Clean
2691,436164,SF,KC,FGXP,8,5,2,7,35,0,7,4,3,67,4,3,FG,JN-060,51,1,2010,3,SUN,SF,KC,ArrowheadStadium,55,72,10,Sunny,Grass,Clean
808,131616,PIT,KC,FGXP,5,2,1,9,50,7,0,4,2,98,5,3,FG,JR-110,20,1,2003,2,SUN,PIT,KC,ArrowheadStadium,67,60,10,Sunny,Grass,Clean
808,131688,PIT,KC,FGXP,9,3,2,0,4,17,27,1,5,67,4,3,FG,JR-110,51,1,2003,2,SUN,PIT,KC,ArrowheadStadium,67,60,10,Sunny,Grass,Clean
